4,5,7,4,5,26,11,9,7,18
0,0,0,1,21,12,2,41,12,6
4,2,26,6,2,7,7,20,6,14
14,8,10,5,26,6,6,7,1,13
2,17,4,14,5,17,9,3,16,7
2,2,5,11,9,8,32,10,3,13
13,3,12,11,2,17,2,16,4,15
6,9,4,8,7,6,7,10,9,29
10,8,13,10,9,6,9,3,17,11
0,6,6,3,18,8,4,17,19,15
4,6,6,4,7,28,5,7,10,18
7,1,6,21,4,4,8,14,8,21
7,1,16,7,5,10,13,6,13,17
0,0,9,0,18,13,7,5,8,36
4,3,4,0,7,2,10,36,16,13
3,3,2,9,20,18,11,5,1,24
12,2,3,4,4,10,1,13,9,36
4,5,15,11,15,3,6,12,6,18
1,3,3,11,5,15,19,11,22,5
5,3,6,14,12,6,7,9,23,10
6,5,8,9,7,7,9,10,23,13
3,0,6,15,5,12,11,15,4,24
5,6,7,4,5,8,15,12,15,18
25,8,4,6,2,5,9,7,16,15
4,0,8,11,2,28,5,10,9,17
1,18,2,12,2,22,2,30,3,2
13,3,1,3,5,5,9,6,24,25
14,1,4,4,11,3,4,15,21,18
6,6,12,15,9,5,8,8,8,17
1,3,5,8,4,4,1,3,32,32
1,1,21,5,21,16,8,2,8,13
5,12,9,5,11,3,2,17,13,19
4,4,8,24,8,13,3,7,7,16
7,6,6,20,23,8,8,6,9,4
3,7,6,5,1,9,13,6,26,19
8,11,10,2,12,12,5,5,14,16
11,21,8,2,7,7,5,16,9,9
11,8,6,9,3,8,6,10,35
7,2,11,5,12,4,8,13,13,19
1,4,3,14,16,10,5,9,12,20
10,10,10,10,10,10,10,10,10,10
3,3,6,10,25,12,12,3,8,13
4,8,5,14,6,23,7,13,6,9
9,6,4,1,1,6,10,16,20,22
14,5,5,8,5,10,9,7,13,18
11,3,9,1,13,15,14,5,9,16
14,17,7,7,7,6,2,8,8,19
3,6,9,12,9,4,8,4,11,29
5,4,17,6,10,7,20,9,4,13
5,13,30,8,4,4,6,8,6,12
9,8,11,6,3,19,11,9,8,11
6,8,8,6,5,8,10,5,16,23
2,9,5,30,7,9,14,3,7,9
2,32,9,8,2,3,7,12,12,9
6,10,2,11,9,10,12,11,2,22
12,18,7,4,10,2,23,2,2,16
6,2,12,0,1,0,14,13,29,18
7,10,14,2,4,5,16,12,8,16
7,10,3,9,5,2,16,13,7,23
