4,3,5,5,24,10,3,7,33
2,2,1,1,1,28,8,35,17
2,1,1,1,4,5,26,39,17
1,2,8,3,1,2,8,8,63
4,3,4,20,11,16,6,8,24
1,0,2,17,9,7,8,14,38
2,2,8,2,7,5,10,37,23
15,10,6,6,5,8,18,10,17
7,6,4,3,4,28,6,26,10
1,4,2,3,13,13,6,22,31
1,1,3,5,6,10,11,18,41
1,1,1,2,2,5,53,12,17
7,3,5,7,6,6,10,15,38
2,1,2,2,4,4,13,39,30
3,1,3,7,10,11,11,27,23
1,1,2,9,22,3,12,6,40
2,12,4,2,50,3,4,2,16
8,2,3,10,2,16,29,5,21
1,1,2,1,10,9,13,33,24
4,4,4,7,27,13,6,11,18
4,3,7,6,9,5,6,23,31
1,2,2,2,2,3,3,7,73
2,2,2,4,11,19,5,28,23
1,2,2,2,3,4,9,63,11
1,1,2,1,13,6,35,20,16
2,3,2,3,3,24,28,11,20
5,6,5,6,18,5,17,5,28
1,3,2,3,17,6,8,19,38
5,3,9,11,14,6,8,14,26
2,1,4,4,10,6,5,47,17
4,6,3,1,1,3,6,41,29
4,3,3,4,4,7,22,22,27
1,1,2,3,58,4,8,5,16
3,4,4,2,2,5,35,17,24
3,2,1,5,5,5,9,17,48
4,3,10,3,10,9,6,14,37
1,2,3,2,37,23,5,3,20
2,3,28,43,11,10
6,4,7,8,11,8,14,14,24
1,3,10,7,4,24,16,16,15
11,11,11,11,11,11,11,11,11
6,5,3,21,4,3,10,17,25
2,2,2,10,2,3,6,42,27
1,2,13,2,9,7,6,6,49
9,5,9,7,5,5,8,13,33
5,4,5,5,5,7,9,45,11
2,6,21,3,4,4,40,4,13
3,9,6,4,10,15,16,15,17
1,2,1,3,3,1,29,29,26
2,2,5,27,8,5,4,15,29
2,6,17,3,12,7,7,24,18
7,2,4,5,12,16,18,15,16
1,1,3,10,2,12,8,4,54
3,1,2,2,6,3,37,12,30
2,2,8,7,1,12,16,22,26
1,1,7,12,8,2,28,20,16
2,1,2,1,5,10,22,38,15
1,3,5,24,6,14,4,19,18
2,1,1,2,20,11,12,32,14
1,2,17,7,15,16,2,14,22
5,3,11,7,6,2,17,7,37
2,1,2,1,5,33,21,14,17
1,1,2,9,10,4,12,13,43
11,6,7,11,10,9,10,7,24
0,1,3,4,24,5,11,18,29
1,1,1,1,2,2,21,3,63
2,12,2,14,5,18,14,7,22
1,2,4,6,3,6,17,14,42
1,7,2,5,3,18,13,19,27
1,1,2,7,4,28,17,19,18
6,4,7,7,8,9,8,22,24
2,6,8,5,4,12,19,6,33
1,1,0,2,2,5,5,6,71
2,8,13,14,10,6,15,15,12
1,1,1,1,2,12,4,48,24
2,1,2,29,6,6,27,8,16
4,5,21,12,3,10,8,17,15
2,2,6,48,10,5,4,6,13
17,14,12,10,14,31
3,2,4,3,3,12,9,18,41
3,3,2,3,16,13,7,9,40
4,4,3,4,4,4,5,14,53
15,6,8,6,6,10,12,13,20
14,6,4,18,7,16,5,14,12
3,2,2,4,43,15,6,12,9
1,1,2,2,3,15,4,46,21
13,3,7,7,12,18,4,15,18
1,0,1,1,1,4,53,17,18
4,3,3,11,5,16,11,19,24
0,1,2,2,25,11,14,18,23
2,2,6,9,14,6,32,8,16
10,6,16,11,8,6,17,10,11
3,3,4,9,4,26,20,3,25
7,6,8,4,21,9,4,19,17
3,4,3,7,3,4,12,36,22
7,10,1,3,3,19,4,7,41
4,3,2,6,13,8,10,15,35
1,1,2,10,2,18,7,24,30
4,2,27,10,4,7,3,17,21
1,7,2,4,4,34,3,5,36
