4,5,10,8,8,10,21,19,11
6,7,7,7,8,11,7,10,10,22
3,4,5,3,4,4,4,29,39
11,7,8,9,8,9,9,9,8,18
15,7,6,14,10,5,6,7,9,15
17,9,8,6,5,2,8,15,10,16
5,12,9,5,6,11,7,13,16,10
8,5,5,5,6,5,18,14,30
14,7,9,9,7,7,12,11,17
10,9,7,8,12,7,23,11,9
17,17,7,4,6,8,5,15,16
16,6,12,7,9,6,9,10,8,12
9,10,11,13,9,8,11,9,16
14,7,10,8,11,6,5,4,15,16
9,7,8,19,9,8,7,10,19
6,5,13,11,8,14,10,13,16
5,6,8,7,18,19,13,11,8
16,10,10,5,6,5,8,10,11,14
3,4,3,4,6,11,19,24,22
10,20,12,8,12,8,8,9,8
11,9,7,8,9,9,9,8,8,16
7,5,6,7,18,8,10,21,14
11,11,11,10,7,9,7,12,18
13,10,9,8,5,9,5,8,8,19
7,10,8,8,13,7,11,10,20
13,8,9,7,8,12,17,9,12
15,9,6,8,4,9,4,6,9,24
16,9,5,8,8,7,5,11,12,13
12,6,7,7,5,6,10,8,11,23
6,4,3,13,6,23,7,19,14
7,4,13,9,9,10,7,22,14
17,12,8,7,12,5,8,6,7,14
13,6,6,8,13,5,6,5,9,23
8,8,7,7,6,10,10,12,27
13,7,15,9,7,8,5,6,8,16
4,2,4,3,4,6,5,27,40
16,4,10,7,8,10,6,8,11,16
10,12,13,11,10,8,9,11,11
10,16,4,6,9,10,6,20,13
7,7,5,9,11,10,5,7,17,18
12,8,9,10,9,8,11,13,15
4,5,4,5,7,5,10,29,26
5,5,4,4,5,6,7,17,43
8,7,8,7,7,9,6,6,11,26
10,6,6,11,6,10,8,16,21
14,8,8,7,9,12,12,12,13
11,7,6,6,7,5,9,10,10,23
11,7,9,10,6,10,19,12,11
4,3,4,5,5,10,22,20,22
4,8,10,14,10,12,3,11,13,8
8,16,11,10,10,9,11,11,10
4,4,4,5,8,3,5,11,52
6,9,9,10,14,17,12,9,10
6,5,3,3,20,10,12,18,19
6,6,5,7,4,6,5,14,43
11,11,6,4,6,7,6,9,15,19
10,12,8,6,8,7,10,20,15
7,8,8,8,13,7,15,14,15
16,8,6,8,8,6,7,7,8,21
41,7,5,7,5,3,5,6,5,11
5,6,33,10,7,7,7,8,13
9,4,4,5,5,4,8,5,51
12,16,14,12,9,4,4,5,6,13
7,5,10,12,8,7,8,10,16,11
10,5,11,4,8,10,5,12,9,22
8,5,8,7,6,10,9,12,32
13,7,5,4,6,10,7,9,12,23
12,12,9,9,9,12,11,11,11
7,12,9,6,12,4,8,7,31
4,3,3,3,3,6,6,13,53
5,5,5,4,6,8,10,12,40
19,7,10,9,7,11,8,8,17
6,5,9,5,28,18,8,5,11
5,13,16,12,4,15,5,18,8
6,12,10,7,17,8,6,17,13
4,8,8,4,9,10,11,18,22
16,11,11,7,5,13,9,11,14
10,11,11,8,7,5,10,8,10,15
9,6,8,7,8,6,10,13,9,18
11,14,13,9,7,12,10,10,10
5,5,3,4,4,7,21,25,21
8,8,7,5,6,12,9,14,27
8,10,11,10,6,8,7,7,10,18
18,13,9,10,6,7,8,8,16
6,9,8,6,8,8,7,8,13,22
5,4,25,11,7,7,11,13,14
13,7,10,8,3,4,6,10,12,22
12,9,10,7,7,7,4,9,12,18
5,6,5,6,7,11,13,14,28
3,1,2,2,3,2,2,10,71
11,10,6,7,7,8,5,8,13,20
11,9,7,11,11,7,6,7,9,17
21,11,7,13,9,6,6,4,5,12
7,14,11,8,9,10,13,13,10
10,4,20,5,5,12,9,11,4,15
8,4,7,7,8,9,9,14,29
11,7,9,10,6,7,6,9,10,20
6,6,6,11,14,7,12,11,23
8,3,2,6,15,13,14,14,21
10,12,9,9,12,13,8,6,17
4,5,10,8,8,10,21,19,11
6,7,7,7,8,11,7,10,10,22
