3,6,2,6,9,21,17,17,14
4,4,4,8,18,10,6,13,18,10
2,2,2,2,3,4,7,11,63
18,8,17,10,11,4,6,9,6,6
8,4,7,6,15,4,5,20,14,11
12,7,7,7,6,13,3,13,9,17
3,4,22,18,22,6,7,6,7
4,3,2,4,10,30,16,15,12
2,2,1,3,4,4,41,33,7
4,3,3,5,5,7,10,31,27
2,2,17,2,5,14,14,6,35
17,4,13,7,11,7,8,10,8,10
10,10,6,10,6,9,4,10,32
3,3,13,8,11,10,11,15,21
17,9,9,3,8,10,7,8,5,20
9,11,10,2,8,7,5,15,7,22
1,2,3,4,7,28,12,21,18
14,9,8,6,6,7,12,5,17,12
1,1,2,3,3,12,29,19,25
4,6,4,8,4,16,18,21,15
11,6,8,5,12,5,5,14,16,13
2,1,3,9,3,5,6,41,26
12,7,7,26,7,6,5,6,6,13
13,13,7,6,5,9,16,6,11,8
4,2,6,7,33,14,14,7,7
2,3,3,5,6,47,11,10,9
16,4,24,10,6,7,7,8,13
15,7,3,3,19,15,8,14,11
4,5,6,5,15,6,7,8,41
2,2,4,3,3,51,15,8,9
11,3,7,9,9,5,6,22,25
9,9,11,7,7,8,12,13,20
16,5,5,9,8,15,4,10,8,15
12,6,24,20,9,5,5,6,8
7,7,19,7,8,19,4,8,7,9
4,4,3,25,15,9,9,23,4
12,8,5,22,8,7,7,8,8,10
11,10,10,9,11,10,10,11,13
28,7,3,14,4,7,5,18,10
8,3,21,8,9,12,7,12,10,6
13,1,2,2,12,18,15,5,28
3,3,4,4,8,8,8,24,35
5,4,3,5,4,4,5,14,52
15,9,6,11,14,11,6,4,8,10
6,5,12,5,8,7,5,11,37
42,4,6,3,17,2,2,8,3,8
3,4,6,7,7,21,8,11,28
6,5,4,5,7,39,6,8,16
3,3,2,4,8,53,9,6,7
2,1,5,13,10,10,3,22,29
5,4,3,5,5,7,8,9,49
8,8,8,11,9,9,9,11,23
3,6,6,15,21,10,10,14,12
3,2,3,2,8,27,16,16,18
2,2,5,4,6,9,23,6,37
17,9,7,17,6,5,9,5,8,13
4,14,6,27,4,5,4,8,24
3,2,2,8,8,5,7,9,52
11,7,4,7,8,6,6,9,23,14
7,10,12,9,4,12,10,7,7,17
4,3,3,22,9,5,8,32,8
2,2,3,5,11,48,10,8,7
2,3,4,12,8,38,10,9,10
7,4,15,9,7,7,8,17,22
1,2,2,4,4,19,23,25,17
2,4,2,7,47,13,7,6,7
3,3,4,19,19,12,15,8,11
3,4,2,21,6,22,17,12,8
6,3,6,5,7,15,4,20,20,10
3,3,2,3,3,5,5,51,21
3,5,5,4,6,5,38,15,15
6,6,8,6,7,10,10,11,31
3,2,2,3,4,8,37,21,16
2,3,5,10,11,16,19,5,25
23,13,18,7,7,5,7,8,8
3,5,38,14,5,2,6,4,18
4,11,5,5,8,13,10,18,21
13,6,6,7,14,13,9,7,7,14
17,7,10,15,9,7,5,6,9,11
2,3,4,6,7,7,7,29,31
2,3,4,5,4,12,20,19,25
11,5,16,7,15,4,10,7,21
11,3,17,18,11,8,3,5,9,9
16,10,6,5,33,5,4,4,6,8
10,12,9,7,4,10,11,9,9,13
15,7,4,5,3,16,26,10,9
4,4,3,12,20,10,14,10,18
4,2,3,2,4,3,6,11,61
6,6,7,7,5,8,9,33,13
8,6,8,7,8,7,7,9,18,16
3,65,8,6,3,2,3,2,3
13,7,8,7,7,5,15,8,9,16
10,5,6,20,4,6,19,12,14
2,3,4,5,13,13,18,18,18
5,11,2,8,4,25,15,15,11
3,13,11,8,7,14,19,13,8
14,7,7,7,5,5,10,8,9,24
4,4,3,13,12,16,8,14,21
2,2,4,14,21,10,10,24,9
7,4,6,6,7,7,10,23,25
