3,13,9,3,18,19,10,8,13
11,5,11,6,6,16,7,23,11
2,2,2,2,2,3,7,28,47
16,7,8,13,7,16,6,12,13
9,9,3,6,6,11,10,31,12
3,12,9,12,7,12,11,9,20
14,10,5,7,5,2,5,9,39
8,2,3,3,8,2,28,28,13
3,2,2,3,2,4,45,26,9
5,6,7,33,13,5,6,12,9
2,18,10,2,2,3,17,6,34
18,7,8,11,6,12,7,13,13
5,16,6,12,3,12,9,9,22
3,2,8,16,11,14,8,16,18
4,9,17,9,8,9,6,16,17
12,8,3,10,11,9,6,16,21
2,3,3,26,3,25,12,5,17
18,9,9,8,11,8,10,7,16
1,1,7,3,24,20,3,16,20
5,5,8,5,5,7,4,14,43
13,8,8,6,13,7,8,19,12
2,2,4,3,9,36,21,6,15
13,9,9,8,15,6,9,8,18
13,9,8,9,9,9,5,9,24
5,3,2,3,3,13,11,42,14
3,3,3,4,6,4,48,14,11
21,9,9,13,10,5,9,9,11
12,19,8,8,3,3,24,9,9
4,5,6,10,8,4,10,33,15
2,2,2,16,4,19,4,30,16
11,5,7,3,10,12,18,13,17
6,12,9,6,5,22,10,8,18
14,4,11,11,7,9,6,7,26
4,11,3,9,5,5,13,15,29
10,5,11,8,25,9,7,15,6
49,6,4,5,3,3,9,8,8
13,5,6,5,12,10,8,9,27
10,12,8,9,7,8,9,15,18
25,9,5,3,10,5,19,9,11
4,4,6,12,10,13,7,19,21
2,8,2,2,29,17,8,19,8
5,4,4,3,4,8,8,20,39
4,4,4,3,3,5,6,11,57
19,9,3,12,8,16,8,9,11
8,8,7,8,6,7,10,10,33
7,7,5,6,6,6,9,9,39
4,10,8,8,19,8,16,8,15
6,5,5,22,6,5,10,21,14
3,2,15,8,4,12,15,6,30
1,8,2,9,10,18,8,23,15
5,5,5,5,6,7,7,11,46
8,8,9,7,10,10,9,11,24
5,10,10,10,10,9,6,7,29
4,16,3,4,19,13,15,17,6
3,20,10,6,4,4,4,34,9
21,10,5,9,12,7,7,9,15
7,9,3,6,13,5,3,28,22
3,3,3,7,24,7,8,33,6
17,9,8,8,8,18,6,8,13
7,12,4,13,9,8,4,16,23
1,3,2,7,26,7,28,10,10
4,3,5,4,3,5,5,13,55
2,3,5,20,17,17,14,6,10
6,6,3,10,7,6,8,19,30
1,2,8,15,11,3,28,23,5
2,2,2,4,7,43,8,18,9
3,15,9,4,8,11,7,15,25
9,16,7,6,11,11,8,15,14
3,10,11,11,17,13,8,16,8
2,2,2,24,3,4,6,47,5
2,4,6,4,5,9,25,11,29
6,7,10,12,9,17,11,6,17
3,3,4,27,17,6,13,5,19
2,5,1,9,13,10,17,20,17
4,3,17,12,13,4,5,8,29
3,1,7,10,8,4,9,21,33
3,3,7,5,7,13,27,21,11
13,7,6,5,8,6,12,30,10
12,8,7,7,9,8,9,19,17
2,3,6,8,8,17,6,24,21
23,6,2,4,15,16,15,7,6
5,5,21,7,7,6,24,11,9
7,5,18,13,6,8,10,13,16
9,9,8,6,8,20,6,8,22
12,16,10,8,9,9,10,11,11
15,7,5,12,7,2,18,20,9
4,12,4,7,8,9,11,16,25
10,6,8,6,7,7,18,18,16
2,2,6,14,14,14,15,6,23
2,1,1,1,2,3,3,44,38
5,19,14,17,9,8,8,10,6
15,9,8,9,10,9,11,11,14
13,6,4,16,3,14,6,9,25
18,8,9,8,10,5,18,8,11
2,2,13,9,17,13,16,15,9
15,2,18,8,8,11,9,14,10
12,8,10,9,15,6,11,11,15
3,3,8,12,7,6,14,11,31
23,10,3,11,9,7,4,22,6
8,5,5,6,7,18,17,18,11
