5,5,4,3,6,32,22,5,5,8
0,0,0,1,10,12,6,2,50,14
5,3,12,5,1,5,7,12,34,12
13,23,12,12,4,11,5,5,6,3
2,10,3,10,3,9,34,7,3,15
2,2,6,9,22,13,8,19,8,7
13,15,3,5,18,5,17,4,11,4
3,7,4,6,26,25,3,9,6,6
12,20,14,12,10,6,5,5,1,10
0,7,4,3,14,9,12,5,25,16
8,11,6,3,8,21,6,7,8,16
8,2,7,9,3,3,6,9,7,41
8,35,2,13,6,3,7,7,4,11
0,0,12,9,1,36,17,8,4,6
11,4,13,22,1,8,11,6,10,11
3,3,2,8,8,10,7,6,46,3
15,3,4,4,5,6,2,37,11,10
4,5,16,13,24,4,5,9,9,7
1,5,3,7,14,7,19,9,9,22
3,3,5,33,10,10,4,6,6,14
3,4,4,5,5,4,5,7,39,20
35,4,0,6,13,7,10,6,9,4
7,8,31,7,6,5,5,9,9,7
33,8,7,8,3,6,7,7,6,10
7,1,7,8,2,8,2,5,6,50
1,13,1,28,7,3,18,2,19,3
8,3,3,3,4,8,32,9,9,16
14,6,2,4,5,26,4,4,12,19
7,7,4,19,24,10,3,5,6,10
3,5,7,9,9,6,4,27,6,19
2,2,18,3,27,18,9,5,2,9
19,13,9,6,7,5,19,1,8,9
9,4,6,8,29,8,16,4,5,6
7,6,18,4,22,12,5,6,4,12
8,40,9,6,4,1,6,6,3,11
11,10,4,12,3,14,22,4,3,12
15,4,28,7,2,5,4,5,16,8
6,4,4,7,3,6,5,11,49
5,2,10,5,14,21,4,13,10,11
3,20,8,3,11,17,8,4,7,13
13,2,10,2,4,8,5,2,30,18
11,8,13,9,9,7,6,2,11,20
3,4,5,14,5,29,16,5,7,7
8,6,5,30,2,2,6,8,11,16
23,8,14,7,8,5,7,5,6,12
21,5,10,2,10,13,7,4,7,15
17,19,6,13,5,11,4,6,6,9
5,9,5,10,10,25,5,9,5,11
32,9,5,14,5,7,5,9,4,7
11,9,26,14,6,6,4,5,6,8
10,6,10,5,3,8,5,32,8,9
6,7,7,5,22,5,6,11,7,19
12,2,13,5,33,10,6,8,1,6
7,1,43,6,10,2,4,6,8,8
5,6,3,8,6,5,37,14,7,4
10,12,18,10,5,10,3,20,3,4
6,3,13,0,1,18,0,9,14,31
4,5,5,7,2,5,25,23,10,9
14,9,4,12,6,3,14,4,17,12
13,6,6,7,9,4,5,5,26,14
9,1,10,5,12,6,13,8,2,30
21,10,9,15,2,7,13,6,2,10
6,5,4,0,5,6,44,11,6,8
4,34,8,7,3,9,8,14,4,5
0,6,9,1,4,8,19,24,12,13
3,3,3,3,5,14,2,10,27,25
20,5,7,8,5,8,14,8,10,10
10,7,9,11,10,8,16,10,5,10
9,4,20,13,4,18,7,2,15,3
9,2,5,2,21,6,2,9,23,14
6,6,1,2,5,4,46,1,18,5
3,1,7,6,6,4,5,4,8,51
1,7,0,0,7,38,9,16,2,15
13,6,26,7,7,10,6,7,3,9
11,2,14,5,32,4,5,3,4,15
3,10,1,7,5,33,9,8,3,17
21,6,9,7,4,8,11,13,6,10
9,6,4,11,33,10,3,7,6,7
3,37,12,13,3,9,8,5,6
33,5,2,8,6,6,17,6,5,7
7,15,9,6,11,10,10,10,6,13
18,6,12,6,3,11,9,12,8,10
9,29,15,8,5,6,5,5,5,9
9,8,5,32,14,6,7,5,4,6
4,6,6,6,7,24,10,13,7,13
8,4,3,6,7,7,4,35,11,11
8,11,7,6,9,2,5,6,10,29
7,3,4,6,3,6,7,27,20,12
7,4,4,10,31,9,9,8,2,11
7,10,20,13,10,5,8,4,8,8
4,17,10,8,15,13,14,6,3,5
0,5,4,4,4,6,5,3,44,18
6,7,28,3,7,27,2,2,4,9
7,3,3,5,0,3,4,6,47,17
23,15,7,8,4,10,4,8,6,9
11,32,3,17,12,5,5,2,5,4
1,8,5,4,5,4,14,2,42,11
2,12,8,3,4,6,8,30,5,16
11,10,2,3,32,15,2,7,4,8
6,3,26,10,12,7,10,8,7,8
