6,4,5,5,4,5,6,8,8,44
9,7,8,5,6,6,7,20,10,16
10,13,6,27,7,5,5,4,5,12
13,8,12,8,9,7,10,9,9,10
11,9,9,8,7,7,7,10,9,18
13,14,9,10,7,6,4,10,9,13
10,9,5,6,10,15,7,12,12,10
9,6,5,9,7,23,8,10,7,11
8,12,8,15,8,8,5,9,9,14
6,16,7,5,3,23,7,7,7,15
13,10,9,6,13,10,4,6,10,13
12,11,7,9,6,10,6,10,12,12
9,9,12,9,9,8,9,7,11,12
10,8,8,20,8,9,7,6,7,11
12,7,10,8,6,7,8,9,10,19
20,13,8,8,6,6,6,7,8,13
15,8,13,13,5,4,4,16,7,10
12,8,8,6,6,5,9,13,11,16
8,5,6,10,5,15,9,14,14,10
9,13,9,8,5,7,11,9,8,14
8,7,7,8,9,11,10,11,9,17
10,4,6,7,5,8,11,6,24,13
11,10,10,10,9,5,7,7,10,16
10,8,7,7,5,8,13,9,12,15
6,5,6,6,6,9,9,18,15,13
14,7,26,5,6,5,7,8,6,10
11,14,13,8,5,6,8,7,10,12
13,11,10,6,7,10,7,9,10,13
11,7,6,6,5,9,6,9,13,21
9,15,15,12,7,10,5,5,8,8
9,7,6,7,8,17,10,9,10,12
8,5,6,7,6,7,7,8,9,33
12,8,7,7,12,10,10,8,9,12
8,7,6,5,7,9,6,7,17,23
12,12,10,8,10,9,7,8,8,11
6,4,5,5,7,17,16,20,6,8
13,10,7,12,6,9,9,10,8,12
6,5,11,7,32,8,6,9,4,7
8,7,8,5,3,28,8,7,8,13
10,9,9,10,8,8,5,7,13,16
12,19,8,6,6,8,8,7,9,12
7,5,5,6,4,7,4,5,36,16
9,15,5,8,7,5,19,10,7,10
9,7,6,6,7,7,6,8,20,19
12,10,10,8,7,6,9,8,8,19
14,8,16,7,7,6,8,7,9,14
10,7,6,6,8,13,8,10,12,15
9,10,26,13,6,4,5,7,6,10
17,11,5,5,11,9,10,7,8,10
7,11,9,7,9,4,8,9,19,13
9,5,30,8,5,7,7,6,9,7
4,5,4,3,3,15,8,29,10,13
7,6,6,9,6,5,6,7,22,20
11,6,14,15,10,9,4,5,7,14
6,8,3,6,23,6,6,7,6,23
8,10,8,6,11,10,9,7,11,15
8,8,5,8,6,6,6,8,7,33
7,13,5,4,6,6,5,6,33,10
12,8,6,8,6,8,10,9,10,18
9,12,7,10,10,5,9,11,9,12
11,27,11,5,5,5,5,9,7,10
8,4,5,7,7,24,10,10,9,10
9,12,12,8,4,5,7,17,8,13
8,6,9,7,6,8,6,12,8,24
11,18,5,12,4,6,5,9,8,17
10,7,8,26,9,7,5,7,3,13
10,8,7,4,8,10,7,10,13,18
5,4,5,5,6,9,26,10,9,14
7,7,6,10,8,17,6,11,9,13
7,6,7,6,8,6,6,9,22,17
8,8,13,7,5,10,14,8,11,13
11,6,6,5,5,7,4,17,18,15
13,11,11,7,6,6,13,6,8,15
6,5,7,8,15,13,4,10,16,11
7,6,5,4,6,17,8,8,21,13
14,8,12,8,3,4,5,10,12,18
6,6,6,8,9,11,10,12,14,12
10,9,7,10,9,7,9,9,12,13
7,5,7,7,7,6,7,7,21,21
7,5,7,10,9,6,6,15,9,20
6,5,9,14,6,16,9,8,7,17
8,6,8,8,6,6,13,14,12,14
10,9,7,6,7,7,13,10,12,15
10,10,15,9,10,7,8,6,9,12
9,9,7,8,11,7,8,10,12,15
8,7,8,9,7,7,7,8,8,26
11,6,11,8,14,5,7,9,10,15
8,7,9,10,8,9,6,9,9,19
8,6,6,5,4,4,16,6,14,26
3,4,2,2,4,3,3,13,18,44
7,10,6,8,8,7,6,8,21,14
10,8,7,8,6,5,6,8,8,29
12,13,11,11,10,9,9,4,6,9
8,10,7,8,18,7,4,7,11,15
10,5,13,6,6,8,8,13,8,17
6,7,5,6,7,8,26,9,8,13
12,8,9,11,9,7,5,8,11,15
9,10,11,6,10,9,7,7,14,12
14,11,6,10,6,10,6,10,12,9
7,5,7,5,10,6,10,7,25,13
