10,7,8,5,7,12,12,17,18
10,10,7,8,9,11,12,12,17
5,5,4,4,5,7,26,23,16
11,5,5,4,16,4,34,10,8
12,2,35,2,2,2,2,10,28
14,9,10,7,10,10,11,7,17
13,5,4,14,4,27,8,8,11
6,5,6,6,8,8,23,18,17
5,3,4,5,4,28,4,8,35
6,6,4,4,6,6,7,38,19
4,5,11,2,14,7,3,4,44
14,14,11,12,9,9,6,7,13
17,9,7,9,10,6,12,9,17
12,9,14,6,10,7,9,8,21
6,6,3,4,4,5,6,13,49
13,12,9,8,5,9,13,8,18
18,5,14,4,4,5,5,19,22
11,12,7,5,7,7,15,12,20
27,14,14,3,3,11,11,8,5
6,3,3,3,3,8,3,26,42
16,7,6,4,5,29,10,7,10
5,5,4,4,4,4,4,55,11
15,10,8,7,8,8,7,15,19
11,7,7,5,5,6,5,39,10
5,3,6,4,3,4,10,29,31
9,7,6,7,8,9,15,15,19
21,9,5,5,7,13,10,13,12
2,2,44,4,5,14,8,9,7
4,18,2,4,3,3,5,14,42
3,2,2,3,3,4,22,18,38
6,4,4,4,4,4,30,6,34
14,9,13,6,11,9,13,9,11
17,6,14,8,7,6,10,9,17
4,3,3,2,4,5,5,23,46
10,15,3,5,3,29,12,14,5
16,10,10,2,20,5,5,4,23
9,32,3,2,2,3,7,8,30
13,8,7,9,12,8,9,16,14
6,7,5,3,6,4,38,17,9
12,11,14,8,7,6,8,18,11
12,7,9,7,12,10,10,12,18
9,10,7,7,9,10,8,11,25
5,4,4,4,5,4,7,14,48
21,10,8,6,6,7,12,9,16
5,4,3,5,4,34,5,26,9
7,5,5,5,6,5,7,9,45
33,4,9,8,2,9,5,5,21
4,3,44,3,5,4,22,5,6
5,3,3,3,4,5,6,5,61
4,13,10,3,14,12,13,20,7
1,24,2,10,1,2,19,21,14
3,32,2,3,2,7,32,10,4
6,7,5,6,6,5,5,8,46
7,6,6,5,10,9,9,11,33
13,9,8,6,12,10,8,7,22
21,14,7,7,6,6,6,14,14
11,4,5,5,6,6,5,45,8
6,4,4,4,30,5,5,31,7
15,14,12,7,6,8,6,10,19
2,2,27,6,3,2,3,24,27
2,2,1,2,3,12,6,23,45
8,8,6,6,8,10,13,11,25
3,3,13,4,11,16,14,16,15
6,6,5,5,4,13,8,7,40
3,3,5,5,9,34,8,17,11
4,4,4,6,30,4,5,8,31
8,5,12,13,7,9,7,14,21
54,4,4,4,4,6,6,5,8
3,2,2,9,4,7,5,23,42
5,3,3,5,3,23,4,6,43
4,5,7,5,12,7,5,22,29
11,31,9,7,6,7,6,10,10
4,4,3,4,3,21,17,26,14
3,4,7,7,8,28,3,3,33
3,2,2,2,2,12,44,4,25
2,9,28,1,11,3,19,15,6
4,4,3,14,5,8,23,11,22
5,4,3,17,4,5,4,9,46
8,55,4,4,4,5,4,4,8
11,4,14,7,5,7,6,10,30
24,5,8,2,2,10,3,3,37
23,9,17,14,7,5,5,6,10
4,3,13,3,3,7,4,6,52
5,11,6,10,7,5,13,9,30
12,11,9,8,9,8,6,15,17
7,27,2,12,3,2,10,19,13
47,7,6,6,6,4,6,6,9
12,8,10,5,7,8,20,14,10
2,2,26,7,8,8,9,19,15
3,2,2,2,38,2,27,15,4
16,12,8,11,6,10,6,16,11
9,16,4,8,8,7,7,6,30
16,8,4,7,14,27,4,9,7
37,4,4,9,7,6,12,9,9
8,5,18,9,9,7,16,11,13
7,7,35,4,3,5,8,9,18
5,11,20,11,7,12,6,13,10
6,17,5,9,10,5,10,9,24
4,4,11,9,5,18,6,7,32
9,10,6,9,9,13,13,7,18
