5,7,6,4,6,9,6,11,43
1,2,1,1,1,9,12,40,29
3,2,6,7,10,9,10,15,32
0,3,6,7,3,11,10,22,34
3,4,6,4,7,14,21,14,23
2,4,5,4,8,13,20,14,25
2,2,2,2,2,9,11,42,24
3,3,4,6,5,5,9,13,49
1,6,6,9,7,20,19,14,13
1,3,5,7,7,11,8,20,34
7,11,11,7,4,9,21,5,9,11
3,4,4,7,7,13,20,14,24
4,5,5,7,6,9,10,24,25
1,1,0,6,6,7,9,31,35
2,8,5,15,14,8,12,12,21
0,2,2,2,3,7,36,19,24
1,4,5,4,3,6,4,7,61
5,3,4,5,7,9,12,18,33
2,8,9,6,6,18,17,14,14
7,14,10,6,8,7,18,9,17
8,5,4,7,6,8,8,17,33
1,2,2,5,9,13,13,17,33
7,7,7,6,10,11,8,17,22
4,7,9,8,7,7,10,14,29
1,1,2,3,3,8,9,12,56
1,1,2,2,2,9,12,37,30
6,5,8,9,10,10,15,16,18
6,1,5,5,7,15,11,16,31
4,3,6,4,5,4,11,19,40
2,5,5,6,29,12,13,8,15
3,1,2,4,5,6,14,30,31
2,6,8,7,23,10,9,12,17
2,2,3,5,6,12,12,17,36
7,3,6,6,6,10,8,21,29
3,4,5,5,5,8,11,22,34
10,12,11,3,11,12,4,3,10,19
5,7,5,7,7,6,12,15,31
8,10,11,12,15,40
5,1,4,4,7,8,11,20,35
2,3,4,7,6,9,9,10,46
2,2,7,5,7,11,11,14,36
3,7,7,7,8,7,9,14,33
4,3,5,5,3,6,6,30,34
2,2,6,9,27,11,8,12,19
8,7,9,8,8,11,11,13,21
5,5,6,10,9,12,12,15,23
2,4,5,6,5,4,8,12,51
7,4,6,5,8,7,12,17,28
3,6,4,6,7,6,5,36,24
4,3,3,3,2,5,7,11,58
2,4,3,6,2,10,20,19,30
3,3,5,3,7,10,11,12,40
2,3,4,5,3,6,7,11,54
3,4,7,5,11,11,11,22,21
1,14,3,6,5,5,21,11,30
1,1,2,8,12,9,17,19,27
1,1,0,3,6,10,17,27,31
2,4,4,3,7,7,27,13,29
14,9,3,10,5,2,13,13,9,17
7,15,8,7,5,6,11,18,19
2,3,11,17,7,10,8,14,25
2,2,4,5,7,7,10,33,26
0,5,5,4,7,6,7,45,18
4,8,7,6,7,6,10,13,33
0,1,6,6,8,10,14,17,34
1,3,3,3,3,4,6,12,59
5,4,5,9,9,10,13,17,25
7,8,9,9,10,11,17,12,12
1,3,2,3,13,13,16,19,26
1,3,2,5,6,6,8,7,58
6,2,7,10,6,11,18,13,23
2,3,6,16,8,10,18,13,18
1,1,1,2,10,20,17,17,27
4,5,6,4,7,9,6,36,18
5,6,4,5,4,6,13,27,27
3,2,2,7,32,9,17,9,15
9,5,9,6,4,10,8,22,23
9,7,4,9,11,14,5,8,17,11
2,3,7,8,20,57
4,4,5,5,4,6,8,12,48
4,6,7,10,10,13,13,14,21
7,5,5,8,8,16,16,12,20
7,5,12,7,7,6,6,7,38
11,6,12,8,11,7,7,14,19
4,2,4,7,9,8,44,9,10
6,4,6,6,11,11,22,11,18
3,5,7,8,11,9,12,19,22
4,3,4,5,7,7,7,30,29
3,8,6,8,16,11,12,14,18
5,4,3,4,5,9,10,19,37
1,1,4,5,6,9,12,15,43
1,3,5,6,9,9,9,12,41
4,6,4,4,9,11,12,19,27
7,10,5,8,9,17,9,20,11
4,6,3,8,6,8,14,14,32
3,2,5,2,7,20,14,5,38
1,1,5,4,4,7,6,19,48
1,3,8,5,5,6,7,13,48
1,1,3,4,6,7,18,28,27
2,4,6,4,7,12,24,15,21
