6,4,3,4,4,47,8,6,6,8
6,5,4,5,7,39,7,6,7,11
11,7,6,4,3,3,5,5,39,12
8,47,6,5,4,3,4,4,3,11
6,2,32,3,11,2,7,17,8,6
8,28,4,4,15,6,3,9,7,10
41,7,17,5,4,3,4,5,3,5
28,2,2,2,2,4,27,21,3,4
3,19,36,13,2,2,2,2,12,3
4,41,3,2,2,23,6,3,3,7
3,2,2,2,2,2,3,4,19,57
4,3,3,2,3,2,4,4,6,64
10,9,9,4,5,5,6,6,36,6
9,8,38,8,4,6,5,4,4,9
38,5,7,8,5,6,5,5,5,12
4,4,3,3,3,4,7,6,47,13
4,12,5,4,4,4,6,37,9,11
39,5,4,3,3,3,7,10,9,11
21,2,3,6,17,4,13,15,11,3
5,12,5,24,5,4,9,2,6,22
3,2,3,2,10,3,2,15,50,6
33,10,3,4,4,3,4,25,4,5
11,7,23,14,5,6,4,5,6,14
5,3,3,2,3,3,27,36,6,7
4,2,10,9,3,2,3,3,4,56
17,6,6,12,11,8,7,8,7,13
21,6,4,5,4,6,11,10,9,18
42,8,9,2,12,4,2,7,5,4
8,39,4,2,3,3,2,3,6,26
5,20,31,8,4,3,3,11,5,6
34,2,2,3,14,4,16,3,3,14
13,6,4,8,5,6,31,6,7,10
12,12,5,6,6,26,4,7,6,11
5,39,9,10,3,4,4,3,3,13
4,52,7,2,2,13,2,2,7,5
28,2,22,17,2,3,3,2,12,4
50,6,3,7,5,4,4,5,5,5
5,8,4,3,2,2,3,3,4,60
6,2,35,7,3,23,11,2,2,4
30,8,7,5,6,5,2,11,11,10
3,3,2,2,3,3,3,26,41,9
4,2,3,2,3,4,3,23,4,47
5,4,4,3,3,30,28,6,4,7
8,6,6,38,7,5,5,6,5,9
35,2,18,3,2,3,13,2,2,14
34,3,2,2,20,2,2,2,5,23
27,2,2,5,6,2,3,29,15,5
2,30,4,3,12,33,2,3,2,4
34,7,4,2,35,2,2,2,3,3
6,8,46,6,4,5,4,4,4,6
31,1,2,1,13,13,2,23,4,4
2,33,2,3,36,3,6,4,2,5
17,30,3,4,3,3,19,4,5,6
45,17,3,7,3,3,3,3,3,7
6,5,4,4,5,5,43,6,6,11
16,12,14,9,5,6,7,5,10,11
3,12,2,4,3,51,5,4,5,7
31,28,4,5,2,2,12,2,4,4
14,3,2,2,2,3,3,39,20,7
23,2,2,2,2,3,3,3,25,33
3,2,18,1,32,2,2,2,6,26
5,4,18,35,6,3,7,6,5,5
14,10,9,9,2,3,12,24,6,7
5,33,4,6,3,3,5,3,4,29
28,5,4,2,1,1,3,3,25,22
2,26,12,2,2,3,2,32,3,11
14,14,8,4,4,10,6,14,10,11
32,3,29,3,2,3,4,4,3,11
3,2,3,10,5,15,18,23,6,9
3,9,3,14,2,3,4,5,41,11
5,3,4,2,3,8,48,7,6,9
7,4,4,5,4,8,32,8,10,11
19,8,4,3,3,9,3,15,5,26
21,2,6,5,16,7,2,23,8,5
2,1,2,1,21,34,20,4,6,4
15,2,8,1,2,27,9,6,19,7
32,4,6,22,8,4,6,4,5,5
11,4,6,31,14,6,4,4,3,13
8,51,5,5,5,4,4,3,4,6
22,12,7,5,12,7,5,5,5,15
7,3,3,4,40,4,20,4,4,6
37,9,6,8,4,5,5,5,6,10
9,16,16,8,7,8,6,8,7,9
18,3,2,27,22,3,8,3,4,6
8,9,7,5,4,22,10,9,8,12
2,28,2,10,2,2,3,29,9,7
9,5,38,7,6,4,7,4,5,10
3,2,2,2,11,3,5,40,17,10
5,26,2,2,6,8,2,12,21,12
4,2,43,28,2,3,2,2,5,4
4,4,3,3,5,6,49,6,5,9
7,4,4,3,3,3,22,4,35,11
13,10,6,8,36,4,4,3,3,9
15,3,3,2,2,3,7,19,32,9
47,9,4,9,4,4,4,4,3,6
46,4,14,2,2,14,2,2,3,5
5,3,3,10,6,2,4,4,20,36
10,9,4,8,8,14,10,9,16,7
42,6,2,3,6,2,17,8,5,3
7,3,4,3,6,4,9,43,8,8
